# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 312.618543 | t->dist_cap: 199.983026 | clang!
dist infinite: 324.357960 | t->dist_cap: 199.966667 | clang!
dist infinite: 324.357960 | t->dist_cap: 199.966667 | clang!
dist infinite: 334.767779 | t->dist_cap: 199.953578 | clang!
dist infinite: 334.767779 | t->dist_cap: 199.953578 | clang!
dist infinite: 343.269614 | t->dist_cap: 199.943761 | clang!
dist infinite: 343.269614 | t->dist_cap: 199.943761 | clang!
dist infinite: 349.311805 | t->dist_cap: 199.937216 | clang!
dist infinite: 349.311805 | t->dist_cap: 199.937216 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 349.311805 | t->dist_cap: 199.937216 | clang!
dist infinite: 349.311805 | t->dist_cap: 199.937216 | clang!
dist infinite: 343.269614 | t->dist_cap: 199.943761 | clang!
dist infinite: 343.269614 | t->dist_cap: 199.943761 | clang!
dist infinite: 334.767779 | t->dist_cap: 199.953578 | clang!
dist infinite: 334.767779 | t->dist_cap: 199.953578 | clang!
dist infinite: 324.357960 | t->dist_cap: 199.966667 | clang!
dist infinite: 324.357960 | t->dist_cap: 199.966667 | clang!
dist infinite: 312.618543 | t->dist_cap: 199.983026 | clang!
dist infinite: 312.618543 | t->dist_cap: 199.983026 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 287.215381 | t->dist_cap: 200.025555 | clang!
dist infinite: 287.215381 | t->dist_cap: 200.025555 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 261.783289 | t->dist_cap: 200.081156 | clang!
dist infinite: 261.783289 | t->dist_cap: 200.081156 | clang!
dist infinite: 249.658181 | t->dist_cap: 200.113855 | clang!
dist infinite: 249.658181 | t->dist_cap: 200.113855 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 204.059942 | t->dist_cap: 200.293604 | clang!
dist infinite: 204.059942 | t->dist_cap: 200.293604 | clang!
dist infinite: 213.963387 | t->dist_cap: 200.244597 | clang!
dist infinite: 213.963387 | t->dist_cap: 200.244597 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
